                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1648,                  3.166,                 1.1538,                0.49794,                0.36733,                0.33411,                0.25942,                0.91359,                 1.7792,                 1.0431,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.1152,                 2.0657,                 1.1127,                0.55836,                0.43306,                0.44287,                0.34416,                0.88474,                 1.5268,                 1.0391,              0.0064463,              0.0064463,              0.0064463
                      3,                 1.1748,                 2.0593,                 1.1461,                0.55919,                0.44011,                0.45704,                0.35131,                0.89864,                 1.4961,                 1.0511,              0.0093396,              0.0093396,              0.0093396
                      4,                 1.1635,                 1.9865,                 1.1523,                0.59979,                0.49589,                0.53978,                0.42339,                0.83317,                 1.3171,                   1.03,                0.00901,                0.00901,                0.00901
                      5,                 1.0822,                 1.7618,                  1.116,                0.67303,                0.57619,                0.63377,                0.50425,                 0.7865,                 1.1327,                 1.0052,                0.00901,                0.00901,                0.00901
                      6,                 1.0245,                 1.6034,                 1.0889,                 0.7324,                0.61407,                0.68643,                0.55348,                0.74995,                 1.0132,                0.98521,                0.00868,                0.00868,                0.00868
                      7,                 0.9816,                 1.4916,                 1.0682,                 0.7512,                0.65762,                0.72795,                0.59193,                0.72143,                0.93062,                0.97006,                0.00835,                0.00835,                0.00835
                      8,                 0.9557,                 1.4033,                 1.0551,                0.78236,                0.67954,                0.75992,                0.62017,                0.70492,                0.86522,                0.96141,                0.00802,                0.00802,                0.00802
                      9,                0.92789,                 1.3285,                 1.0409,                0.78809,                 0.7021,                0.77985,                0.63904,                0.69205,                0.81852,                0.95406,                0.00769,                0.00769,                0.00769
                     10,                0.90964,                 1.2742,                 1.0324,                0.81983,                 0.7094,                0.79618,                0.65392,                0.67926,                0.78218,                0.94599,                0.00736,                0.00736,                0.00736
                     11,                0.89129,                 1.2227,                  1.023,                0.82986,                0.73065,                0.81094,                0.66768,                0.67034,                0.75197,                0.94073,                0.00703,                0.00703,                0.00703
                     12,                0.87619,                 1.1776,                 1.0175,                0.84178,                0.73439,                0.82002,                 0.6767,                0.66398,                0.73048,                0.93728,                 0.0067,                 0.0067,                 0.0067
                     13,                0.86343,                 1.1332,                 1.0112,                0.84734,                 0.7419,                0.82814,                0.68419,                0.65748,                0.71253,                 0.9336,                0.00637,                0.00637,                0.00637
                     14,                0.84675,                 1.0946,                 1.0019,                0.85624,                 0.7422,                0.83241,                0.68978,                0.65366,                0.70029,                0.93132,                0.00604,                0.00604,                0.00604
                     15,                0.83348,                 1.0551,                0.99616,                0.84557,                0.75813,                0.83668,                0.69427,                0.64874,                0.68925,                0.92882,                0.00571,                0.00571,                0.00571
                     16,                0.82099,                 1.0193,                0.98939,                0.85854,                0.75716,                0.84135,                0.69973,                0.64541,                0.67974,                0.92685,                0.00538,                0.00538,                0.00538
                     17,                0.80961,                0.99098,                 0.9835,                0.85514,                0.76744,                0.84607,                0.70466,                0.64208,                0.66911,                0.92502,                0.00505,                0.00505,                0.00505
                     18,                0.79635,                0.95795,                0.97868,                0.85735,                 0.7726,                0.85145,                0.70955,                0.63848,                0.65778,                0.92313,                0.00472,                0.00472,                0.00472
                     19,                0.78916,                0.92913,                0.97539,                0.86286,                0.77891,                0.85699,                0.71508,                0.63493,                0.64609,                0.92099,                0.00439,                0.00439,                0.00439
                     20,                0.77735,                0.90317,                0.97011,                0.87707,                0.77939,                0.86265,                0.72105,                 0.6316,                0.63381,                0.91902,                0.00406,                0.00406,                0.00406
                     21,                0.76644,                0.87379,                0.96496,                0.87802,                0.79179,                0.86807,                0.72535,                0.62785,                0.62137,                 0.9166,                0.00373,                0.00373,                0.00373
                     22,                0.75521,                0.84629,                0.95848,                0.88372,                0.79724,                0.87297,                0.73014,                0.62489,                0.61005,                0.91463,                 0.0034,                 0.0034,                 0.0034
                     23,                 0.7419,                0.81296,                0.95314,                0.88898,                0.80065,                0.87786,                0.73529,                0.62205,                0.59878,                0.91257,                0.00307,                0.00307,                0.00307
                     24,                0.73576,                0.79681,                0.95003,                0.89338,                0.80279,                0.88264,                0.74024,                0.61914,                0.58809,                0.91073,                0.00274,                0.00274,                0.00274
                     25,                0.72129,                0.76555,                0.94515,                0.89747,                0.80699,                0.88697,                0.74476,                0.61622,                0.57779,                0.90866,                0.00241,                0.00241,                0.00241
                     26,                0.70941,                0.73721,                0.93879,                0.90495,                0.80923,                0.89143,                0.74921,                  0.613,                0.56753,                0.90653,                0.00208,                0.00208,                0.00208
                     27,                0.69908,                0.71461,                0.93533,                0.90438,                0.81639,                0.89519,                0.75367,                0.60988,                0.55765,                0.90456,                0.00175,                0.00175,                0.00175
                     28,                0.68838,                 0.6888,                 0.9316,                0.90801,                0.82028,                 0.8991,                0.75798,                0.60692,                0.54814,                0.90257,                0.00142,                0.00142,                0.00142
                     29,                0.67508,                0.66166,                0.92638,                0.90497,                0.82966,                0.90281,                0.76192,                0.60424,                0.53884,                0.90082,                0.00109,                0.00109,                0.00109
                     30,                0.66633,                0.64375,                0.92372,                0.90584,                0.83588,                 0.9059,                0.76577,                0.60181,                0.53031,                0.89923,                0.00076,                0.00076,                0.00076
