                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5995,                 5.3248,                 2.6718,                0.31401,                0.14715,                0.09102,                0.05375,                 1.6055,                 2.7948,                 1.7524,              0.0033331,              0.0033331,              0.0033331
                      2,                 1.6597,                  3.312,                 1.7287,                0.38334,                0.26832,                0.20604,                0.14442,                  1.225,                 2.2153,                 1.4358,              0.0064464,              0.0064464,              0.0064464
                      3,                 1.5018,                 2.7651,                 1.5977,                0.46724,                0.31718,                0.27804,                0.20353,                 1.0929,                 1.9847,                  1.329,              0.0093397,              0.0093397,              0.0093397
                      4,                 1.3941,                   2.49,                 1.5138,                0.52386,                0.37562,                0.37086,                0.27995,                 1.0002,                 1.7488,                  1.262,                0.00901,                0.00901,                0.00901
                      5,                  1.302,                 2.2571,                 1.4456,                0.54895,                0.42486,                0.43977,                0.33724,                 0.9473,                 1.5978,                 1.2222,                0.00901,                0.00901,                0.00901
                      6,                 1.2413,                 2.0872,                 1.3997,                0.57315,                0.45735,                0.48695,                0.37622,                 0.9127,                 1.4973,                 1.1966,                0.00868,                0.00868,                0.00868
                      7,                 1.1954,                 1.9513,                 1.3698,                0.60102,                0.48046,                0.51962,                0.40441,                0.88991,                 1.4293,                 1.1802,                0.00835,                0.00835,                0.00835
                      8,                 1.1635,                 1.8541,                 1.3465,                0.62345,                0.48912,                0.54188,                0.42351,                0.87472,                 1.3843,                 1.1694,                0.00802,                0.00802,                0.00802
                      9,                 1.1325,                 1.7661,                 1.3262,                0.63208,                0.50028,                0.56114,                0.44006,                0.86373,                 1.3479,                 1.1614,                0.00769,                0.00769,                0.00769
                     10,                 1.1096,                 1.6892,                 1.3094,                0.64291,                0.51213,                 0.5771,                0.45404,                 0.8537,                 1.3168,                 1.1547,                0.00736,                0.00736,                0.00736
                     11,                   1.09,                  1.625,                 1.2948,                 0.6485,                0.52479,                0.59119,                0.46622,                0.84547,                 1.2876,                 1.1485,                0.00703,                0.00703,                0.00703
                     12,                 1.0679,                 1.5667,                 1.2793,                0.66591,                0.52901,                0.60609,                0.47914,                0.83722,                 1.2568,                 1.1426,                 0.0067,                 0.0067,                 0.0067
                     13,                 1.0511,                 1.5148,                 1.2675,                0.67745,                0.54339,                0.62123,                 0.4923,                0.82877,                 1.2263,                 1.1367,                0.00637,                0.00637,                0.00637
                     14,                 1.0382,                  1.468,                 1.2586,                0.68674,                0.55894,                0.63591,                0.50426,                0.82048,                 1.1951,                 1.1305,                0.00604,                0.00604,                0.00604
                     15,                   1.02,                 1.4225,                 1.2478,                 0.6948,                0.57492,                0.65202,                0.51799,                0.81252,                 1.1631,                 1.1246,                0.00571,                0.00571,                0.00571
                     16,                 1.0062,                 1.3836,                 1.2399,                0.70669,                0.58791,                0.66813,                0.53167,                0.80445,                   1.13,                 1.1188,                0.00538,                0.00538,                0.00538
                     17,                0.99689,                 1.3505,                 1.2318,                0.71861,                0.60077,                0.68345,                0.54505,                0.79636,                 1.0976,                 1.1132,                0.00505,                0.00505,                0.00505
                     18,                0.98308,                 1.3125,                 1.2212,                0.73354,                0.61302,                0.69769,                0.55792,                0.78824,                 1.0674,                 1.1078,                0.00472,                0.00472,                0.00472
                     19,                0.96748,                 1.2715,                 1.2132,                0.73973,                0.62847,                0.71199,                0.57085,                0.78022,                 1.0378,                 1.1023,                0.00439,                0.00439,                0.00439
                     20,                0.95857,                 1.2402,                 1.2062,                0.74946,                 0.6381,                0.72615,                0.58259,                 0.7732,                 1.0084,                 1.0972,                0.00406,                0.00406,                0.00406
                     21,                0.94778,                 1.2083,                 1.1985,                  0.756,                0.65152,                0.73953,                0.59422,                0.76621,                0.98275,                 1.0923,                0.00373,                0.00373,                0.00373
                     22,                0.93123,                 1.1776,                 1.1869,                0.77523,                0.65931,                0.75158,                0.60493,                0.75969,                0.95792,                 1.0875,                 0.0034,                 0.0034,                 0.0034
                     23,                0.91892,                 1.1405,                 1.1805,                0.78986,                0.66696,                0.76393,                0.61575,                0.75283,                 0.9332,                 1.0822,                0.00307,                0.00307,                0.00307
                     24,                0.90687,                  1.112,                 1.1716,                0.79103,                0.67958,                0.77418,                 0.6246,                0.74688,                0.91206,                 1.0778,                0.00274,                0.00274,                0.00274
                     25,                0.89426,                 1.0811,                 1.1637,                0.79328,                0.68847,                0.78274,                0.63297,                0.74125,                0.89221,                 1.0736,                0.00241,                0.00241,                0.00241
                     26,                0.87786,                  1.048,                  1.152,                0.79715,                0.69685,                0.79126,                0.64065,                0.73502,                0.87334,                 1.0691,                0.00208,                0.00208,                0.00208
                     27,                0.86851,                  1.022,                 1.1463,                0.80479,                0.70229,                0.79928,                0.64756,                0.72985,                0.85724,                 1.0651,                0.00175,                0.00175,                0.00175
                     28,                0.85366,                0.99276,                 1.1381,                0.80488,                0.71571,                0.80684,                 0.6548,                0.72451,                0.84167,                  1.061,                0.00142,                0.00142,                0.00142
                     29,                 0.8399,                0.96223,                 1.1277,                 0.8153,                0.72011,                0.81304,                0.66114,                0.71982,                0.82804,                 1.0573,                0.00109,                0.00109,                0.00109
                     30,                0.82744,                 0.9369,                 1.1212,                0.81955,                0.72857,                0.81974,                0.66797,                 0.7155,                0.81305,                 1.0536,                0.00076,                0.00076,                0.00076
